title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
1-комнатная квартира · 50 м² · 1/10 этаж,32 900 000〒,"Ауэзовский р-н, 12-й мкрн 26",1-комнатная квартира,50 м²,1,10,Нет,Да
2-комнатная квартира · 80.9 м² · 13/13 этаж,58 000 000〒,"Ауэзовский р-н, мкр Мамыр-7, Шаляпина 21",2-комнатная квартира,80.9 м²,13,13,Нет,Да
2-комнатная квартира · 57 м² · 12/13 этаж,45 000 000〒,"Ауэзовский р-н, Кабдолова 14 — Ы.Алтынсарина и Кабдолова",2-комнатная квартира,57 м²,12,13,Нет,Да
3-комнатная квартира · 70 м² · 6/10 этаж,67 500 000〒,"Ауэзовский р-н, Навои 58/1",3-комнатная квартира,70 м²,6,10,Нет,Да
2-комнатная квартира · 47 м² · 1/9 этаж,37 000 000〒,"Ауэзовский р-н, Утеген батыра 11 — ТРЦ ""Гранд Парк""",2-комнатная квартира,47 м²,1,9,Нет,Да
2-комнатная квартира · 61.2 м² · 9/10 этаж,51 500 000〒,"Ауэзовский р-н, Жандосова 108/1 — Жандосова-Сулейменова",2-комнатная квартира,61.2 м²,9,10,Нет,Нет
2-комнатная квартира · 68.6 м² · 9/9 этаж,48 000 000〒,"Ауэзовский р-н, мкр Таугуль, Мустай Карима 12/15 — Саина Джандосова",2-комнатная квартира,68.6 м²,9,9,Нет,Нет
2-комнатная квартира · 49.3 м² · 9/13 этаж,26 500 000〒,"Ауэзовский р-н, Райымбека 348/1",2-комнатная квартира,49.3 м²,9,13,Нет,Да
2-комнатная квартира · 70.4 м² · 9/10 этаж,53 000 000〒,"Ауэзовский р-н, мкр Таугуль-2 37 — Черепанова",2-комнатная квартира,70.4 м²,9,10,Нет,Нет
4-комнатная квартира · 82 м² · 5/5 этаж,46 000 000〒,"Ауэзовский р-н, мкр Мамыр, Спортивная — Джандосова Яссауи",4-комнатная квартира,82 м²,5,5,Нет,Нет
1-комнатная квартира · 55.5 м² · 17/20 этаж,42 200 000〒,"Ауэзовский р-н, Микрорайон Мамыр-1 26/1",1-комнатная квартира,55.5 м²,17,20,Нет,Да
3-комнатная квартира · 71.3 м² · 6/9 этаж,50 500 000〒,"Ауэзовский р-н, мкр Жетысу-2 23 — Саина-Улугбека",3-комнатная квартира,71.3 м²,6,9,Нет,Нет
2-комнатная квартира · 78 м² · 5/9 этаж,44 000 000〒,"Ауэзовский р-н, мкр Аксай-1А, Толе би 18",2-комнатная квартира,78 м²,5,9,Нет,Да
2-комнатная квартира · 61 м² · 3/9 этаж,34 000 000〒,"Ауэзовский р-н, мкр Аксай-1, Ақсай-1 а 33 — 133 мектеп касында",2-комнатная квартира,61 м²,3,9,Нет,Нет
1-комнатная квартира · 45 м² · 9/10 этаж,34 000 000〒,"Ауэзовский р-н, Толе би — Утеген батыра",1-комнатная квартира,45 м²,9,10,Нет,Да
3-комнатная квартира · 58.5 м² · 3/4 этаж,33 500 000〒,"Ауэзовский р-н, мкр №8 — Шаляпина Алтынсарина",3-комнатная квартира,58.5 м²,3,4,Нет,Нет
2-комнатная квартира · 50 м² · 2/4 этаж,32 000 000〒,"Ауэзовский р-н, мкр №3 8/9 — Абая-Саина",2-комнатная квартира,50 м²,2,4,Нет,Нет
3-комнатная квартира · 58.01 м² · 1/4 этаж,38 000 000〒,"Ауэзовский р-н, мкр №1 4 — Саина Жубанова",3-комнатная квартира,58.01 м²,1,4,Нет,Нет
2-комнатная квартира · 67 м² · 1/9 этаж,41 500 000〒,"Ауэзовский р-н, мкр Мамыр-4 308 — Саина - Шаляпина",2-комнатная квартира,67 м²,1,9,Нет,Нет
3-комнатная квартира · 91 м² · 6/10 этаж,63 500 000〒,"Ауэзовский р-н, мкр Таугуль 4 а",3-комнатная квартира,91 м²,6,10,Нет,Нет
3-комнатная квартира · 74 м² · 1/5 этаж,47 000 000〒,"Ауэзовский р-н, мкр Мамыр-2",3-комнатная квартира,74 м²,1,5,Нет,Нет
3-комнатная квартира · 90.8 м² · 13/17 этаж,79 500 000〒,"Ауэзовский р-н, мкр Таугуль-1, Навои 9/1 — Навои 39 блок 13",3-комнатная квартира,90.8 м²,13,17,Нет,Да
2-комнатная квартира · 50 м² · 5/5 этаж,29 000 000〒,"Ауэзовский р-н, мкр Мамыр, Керуентау — Жандосова - Яссауи",2-комнатная квартира,50 м²,5,5,Нет,Нет
3-комнатная квартира · 90 м² · 7/13 этаж,73 000 000〒,"Ауэзовский р-н, Шаляпина 1/18к5 — Саина",3-комнатная квартира,90 м²,7,13,Нет,Да
1-комнатная квартира · 22.5 м² · 3/4 этаж,16 500 000〒,"Ауэзовский р-н, Саина 8",1-комнатная квартира,22.5 м²,3,4,Нет,Нет
