title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 69 м² · 1/5 этаж,55 000 000〒,"Медеуский р-н, ул. Нусупбекова 19 — Янушкевича",3-комнатная квартира,69 м²,1,5,Нет,Нет
3-комнатная квартира · 146 м² · 18/19 этаж,136 900 000〒,"Медеуский р-н, Аль-Фараби 7",3-комнатная квартира,146 м²,18,19,Нет,Да
3-комнатная квартира · 133 м² · 6/9 этаж,155 000 000〒,"Медеуский р-н, Кабанбай батыра 51",3-комнатная квартира,133 м²,6,9,Нет,Да
3-комнатная квартира · 90.2 м² · 5/5 этаж,43 990 000〒,"Медеуский р-н, мкр Думан-2 9",3-комнатная квартира,90.2 м²,5,5,Нет,Нет
4-комнатная квартира · 268 м² · 2/7 этаж,268 000 000〒,"Медеуский р-н, Достык 132",4-комнатная квартира,268 м²,2,7,Нет,Да
3-комнатная квартира · 80 м² · 3/8 этаж,90 000 000〒,"Медеуский р-н, проспект Достык 42 — Кабанбай батыра",3-комнатная квартира,80 м²,3,8,Нет,Нет
3-комнатная квартира · 102 м² · 2/3 этаж,205 000 000〒,"Медеуский р-н, мкр Горный Гигант, Жамакаева 191",3-комнатная квартира,102 м²,2,3,Нет,Да
1-комнатная квартира · 50.4 м² · 2/12 этаж,52 000 000〒,"Медеуский р-н, мкр Самал-1",1-комнатная квартира,50.4 м²,2,12,Нет,Нет
8-комнатная квартира · 240 м² · 9/9 этаж,279 000 000〒,"Медеуский р-н, Кабанбай батыра 51",8-комнатная квартира,240 м²,9,9,Нет,Да
1-комнатная квартира · 39 м² · 1/9 этаж,20 000 000〒,"Медеуский р-н, мкр Думан-2",1-комнатная квартира,39 м²,1,9,Нет,Нет
1-комнатная квартира · 34 м² · 3/6 этаж,21 500 000〒,"Медеуский р-н, Халиуллина 196/17",1-комнатная квартира,34 м²,3,6,Нет,Да
2-комнатная квартира · 48 м² · 13/14 этаж,50 000 000〒,"Медеуский р-н, Мукагали Макатаева",2-комнатная квартира,48 м²,13,14,Нет,Нет
4-комнатная квартира · 150 м² · 9/15 этаж,145 000 000〒,"Медеуский р-н, Достык 128",4-комнатная квартира,150 м²,9,15,Нет,Да
2-комнатная квартира · 57 м² · 2/6 этаж,41 500 000〒,"Медеуский р-н, мкр Думан-2 140/5",2-комнатная квартира,57 м²,2,6,Нет,Да
3-комнатная квартира · 90.2 м² · 5/5 этаж,44 000 000〒,"Медеуский р-н, мкр Думан-2",3-комнатная квартира,90.2 м²,5,5,Нет,Да
4-комнатная квартира · 154.2 м² · 9/14 этаж,154 200 000〒,"Медеуский р-н, Зенкова 59",4-комнатная квартира,154.2 м²,9,14,Нет,Да
5-комнатная квартира · 125 м² · 2/5 этаж,70 000 000〒,"Медеуский р-н, Нусупбекова 10",5-комнатная квартира,125 м²,2,5,Нет,Нет
2-комнатная квартира · 57 м² · 1/5 этаж,60 000 000〒,"Медеуский р-н, мкр Самал-3, Хаджимукана 28 — Хаджимукана Мендикулова",2-комнатная квартира,57 м²,1,5,Нет,Нет
4-комнатная квартира · 200 м² · 7/12 этаж,250 000 000〒,"Медеуский р-н, Бузурбаева 33а",4-комнатная квартира,200 м²,7,12,Нет,Да
3-комнатная квартира · 83.4 м² · 9/9 этаж,39 990 000〒,"Медеуский р-н, мкр Атырау, Кульджинский тракт — Halyk Arena, ВОАД",3-комнатная квартира,83.4 м²,9,9,Нет,Да
4-комнатная квартира · 180 м² · 1/8 этаж,182 000 000〒,"Медеуский р-н, Омаровой 33 — Достык- Омаровой (выше Оспанова)",4-комнатная квартира,180 м²,1,8,Нет,Да
2-комнатная квартира · 50.5 м² · 4/5 этаж,44 999 000〒,"Медеуский р-н, Барибаева 6 — Алимжанова",2-комнатная квартира,50.5 м²,4,5,Нет,Нет
3-комнатная квартира · 92 м² · 7/9 этаж,75 000 000〒,"Медеуский р-н, мкр Думан-2, мкрн Думан-2 57/3",3-комнатная квартира,92 м²,7,9,Нет,Да
5-комнатная квартира · 380 м² · 8/9 этаж,576 003 827〒,"Медеуский р-н, Хаджи Мукана 49 — Мендикулова",5-комнатная квартира,380 м²,8,9,Нет,Да
2-комнатная квартира · 75 м² · 8/9 этаж,65 000 000〒,"Медеуский р-н, мкр Юбилейный, Омаровой 31",2-комнатная квартира,75 м²,8,9,Нет,Да
5-комнатная квартира · 196 м² · 4/6 этаж,195 000 000〒,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/1",5-комнатная квартира,196 м²,4,6,Нет,Да
4-комнатная квартира · 115 м² · 5/6 этаж,96 000 000〒,"Медеуский р-н, Хаджымукана 28 — Мендикулова",4-комнатная квартира,115 м²,5,6,Нет,Нет
2-комнатная квартира · 56 м² · 3/9 этаж,42 000 000〒,"Медеуский р-н, Гоголя 75/1 — Тулебаева",2-комнатная квартира,56 м²,3,9,Нет,Нет
1-комнатная квартира · 46 м² · 7/14 этаж,52 000 000〒,"Медеуский р-н, Мкр. Самал-3",1-комнатная квартира,46 м²,7,14,Нет,Да
2-комнатная квартира · 60.8 м² · 5/12 этаж,56 000 000〒,"Медеуский р-н, Бегалина 7 — Толеби",2-комнатная квартира,60.8 м²,5,12,Нет,Да
2-комнатная квартира · 42.7 м² · 4/4 этаж,33 000 000〒,"Медеуский р-н, мкр Самал-1 6А — Сатпаева Достык",2-комнатная квартира,42.7 м²,4,4,Нет,Нет
3-комнатная квартира · 126 м² · 1/5 этаж,90 000 000〒,"Медеуский р-н, проспект Достык 111/4 — Выше улицы Хаджимукана По Сапар Байжанова (бывшая малая Ленина)",3-комнатная квартира,126 м²,1,5,Нет,Нет
2-комнатная квартира · 59 м² · 3/9 этаж,48 000 000〒,"Медеуский р-н, нусупбекова — Маметовой",2-комнатная квартира,59 м²,3,9,Нет,Нет
2-комнатная квартира · 48.4 м² · 5/6 этаж,26 900 000〒,"Медеуский р-н, мкр Думан-2, Халиуллина 196/17",2-комнатная квартира,48.4 м²,5,6,Нет,Нет
3-комнатная квартира · 134.1 м² · 5/7 этаж,195 000 000〒,"Медеуский р-н, Митина 4 — Достык",3-комнатная квартира,134.1 м²,5,7,Нет,Да
4-комнатная квартира · 146 м² · 3/3 этаж,169 500 000〒,"Медеуский р-н, Кажымукана",4-комнатная квартира,146 м²,3,3,Нет,Да
1-комнатная квартира · 37 м² · 4/6 этаж,40 000 000〒,"Медеуский р-н, Назарбаева 235в — Аль фараби",1-комнатная квартира,37 м²,4,6,Нет,Нет
5-комнатная квартира · 175 м² · 6/7 этаж,189 000 000〒,"Медеуский р-н, Сагадат Нурмагамбетов 28 — Аль-Фараби",5-комнатная квартира,175 м²,6,7,Нет,Да
2-комнатная квартира · 52 м² · 5/5 этаж,29 000 000〒,"Медеуский р-н, мкр Думан-2 8 — Хан Тенгри",2-комнатная квартира,52 м²,5,5,Нет,Да
5-комнатная квартира · 226 м² · 2/5 этаж,250 000 000〒,"Медеуский р-н, мкр Самал-2, Фурманова 67",5-комнатная квартира,226 м²,2,5,Нет,Да
4-комнатная квартира · 106 м² · 4/5 этаж,95 000 000〒,"Медеуский р-н, Пушкина 84",4-комнатная квартира,106 м²,4,5,Нет,Нет
3-комнатная квартира · 91 м² · 4/5 этаж,72 000 000〒,"Медеуский р-н, Гоголя 42 — Угол ул. Тулебаева , ниже бани Арасан.",3-комнатная квартира,91 м²,4,5,Нет,Нет
2-комнатная квартира · 52.2 м² · 1/5 этаж,60 000 000〒,"Медеуский р-н, Уалиханова 107 — Кабанбай батыра",2-комнатная квартира,52.2 м²,1,5,Нет,Нет
1-комнатная квартира · 43.2 м² · 10/10 этаж,29 999 999〒,"Медеуский р-н, Янушкевича 18/16",1-комнатная квартира,43.2 м²,10,10,Нет,Нет
