title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
4-комнатная квартира · 150 м² · 8/9 этаж,135 000 000〒,"Бостандыкский р-н, Аскарова Асанбая 21",4-комнатная квартира,150 м²,8,9,Нет,Да
2-комнатная квартира · 45 м² · 4/5 этаж,29 500 000〒,"Бостандыкский р-н, мкр Орбита-1 28",2-комнатная квартира,45 м²,4,5,Нет,Нет
1-комнатная квартира · 55.14 м² · 2/3 этаж,35 500 000〒,"Бостандыкский р-н, Арайлы 1в — Лучшая цена дешевле чем у застройщика",1-комнатная квартира,55.14 м²,2,3,Нет,Да
2-комнатная квартира · 77.2 м² · 10/20 этаж,71 000 000〒,"Бостандыкский р-н, Ергожина — Ергожина-АльФараби",2-комнатная квартира,77.2 м²,10,20,Нет,Да
5-комнатная квартира · 200 м² · 2/3 этаж,130 000 000〒,"Бостандыкский р-н, мкр Нур Алатау 1839 — Возле школы ""Tamos Education""",5-комнатная квартира,200 м²,2,3,Нет,Нет
1-комнатная квартира · 38.5 м² · 7/13 этаж,28 000 000〒,"Бостандыкский р-н, Журавлева 26",1-комнатная квартира,38.5 м²,7,13,Нет,Да
4-комнатная квартира · 88.6 м² · 5/5 этаж,53 500 000〒,"Бостандыкский р-н, Вахтангова — Тимирязева - Жандосова",4-комнатная квартира,88.6 м²,5,5,Нет,Нет
2-комнатная квартира · 81 м² · 9/14 этаж,75 600 000〒,"Бостандыкский р-н, Айманова 140\Б3",2-комнатная квартира,81 м²,9,14,Нет,Да
4-комнатная квартира · 100 м² · 13/16 этаж,93 000 000〒,"Бостандыкский р-н, Тлендиева 133 — Сатпаева 133/7",4-комнатная квартира,100 м²,13,16,Нет,Да
2-комнатная квартира · 51 м² · 5/5 этаж,42 000 000〒,"Бостандыкский р-н, мкр Алмагуль — улица Жарокова пересечение Дунаевского",2-комнатная квартира,51 м²,5,5,Нет,Нет
4-комнатная квартира · 105.5 м² · 5/10 этаж,104 500 000〒,"Бостандыкский р-н, Шолом-Алейхема 5 — Коктем 1",4-комнатная квартира,105.5 м²,5,10,Нет,Да
4-комнатная квартира · 240 м² · 6/9 этаж,180 000 000〒,"Бостандыкский р-н, Аль-Фараби",4-комнатная квартира,240 м²,6,9,Нет,Нет
2-комнатная квартира · 75 м² · 4/4 этаж,89 500 000〒,"Бостандыкский р-н, Сыргабекова 55",2-комнатная квартира,75 м²,4,4,Нет,Да
2-комнатная квартира · 55 м² · 12/18 этаж,43 900 000〒,"Бостандыкский р-н, Жандосова",2-комнатная квартира,55 м²,12,18,Нет,Да
3-комнатная квартира · 82 м² · 13/15 этаж,76 000 000〒,"Бостандыкский р-н, Жандосова 94А",3-комнатная квартира,82 м²,13,15,Нет,Да
3-комнатная квартира · 81 м² · 5/20 этаж,94 000 000〒,"Бостандыкский р-н, Гагарина 310/1",3-комнатная квартира,81 м²,5,20,Нет,Да
3-комнатная квартира · 78 м² · 16/19 этаж,74 950 000〒,"Бостандыкский р-н, Абая — Брусиловского",3-комнатная квартира,78 м²,16,19,Нет,Да
2-комнатная квартира · 90 м² · 8/18 этаж,65 000 000〒,"Бостандыкский р-н, Гагарина — Мынбаева Радостовца",2-комнатная квартира,90 м²,8,18,Нет,Да
1-комнатная квартира · 45 м² · 2/18 этаж,44 000 000〒,"Бостандыкский р-н, Солодовникова 23",1-комнатная квартира,45 м²,2,18,Нет,Да
3-комнатная квартира · 70 м² · 5/9 этаж,61 999 000〒,"Бостандыкский р-н, Розыбакиева — Аль-Фараби рядом с ТРЦ ""MEGA""",3-комнатная квартира,70 м²,5,9,Нет,Нет
4-комнатная квартира · 169.7 м² · 4/4 этаж,180 000 000〒,"Бостандыкский р-н, Арайлы 20/1",4-комнатная квартира,169.7 м²,4,4,Нет,Да
3-комнатная квартира · 85 м² · 11/20 этаж,99 000 000〒,"Бостандыкский р-н, Гагарина 310",3-комнатная квартира,85 м²,11,20,Нет,Да
4-комнатная квартира · 175 м² · 3/19 этаж,130 000 000〒,"Бостандыкский р-н, Сатпаева — Байтурсынова",4-комнатная квартира,175 м²,3,19,Нет,Да
3-комнатная квартира · 100 м² · 8/14 этаж,75 000 000〒,"Бостандыкский р-н, Торайгырова 25",3-комнатная квартира,100 м²,8,14,Нет,Да
3-комнатная квартира · 135 м² · 7/7 этаж,119 000 000〒,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас 157",3-комнатная квартира,135 м²,7,7,Нет,Да
3-комнатная квартира · 136.1 м² · 6/7 этаж,102 075 000〒,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас 157 — Аскарова-Аль-Фараби",3-комнатная квартира,136.1 м²,6,7,Нет,Да
3-комнатная квартира · 133 м² · 7/7 этаж,99 750 000〒,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас 157 — Аль-Фараби-Аскарова",3-комнатная квартира,133 м²,7,7,Нет,Да
4-комнатная квартира · 82.1 м² · 3/8 этаж,80 500 000〒,"Бостандыкский р-н, Арайлы 12",4-комнатная квартира,82.1 м²,3,8,Нет,Да
4-комнатная квартира · 122.5 м² · 7/12 этаж,159 250 000〒,"Бостандыкский р-н, Минина — Доп скидка за нал будет",4-комнатная квартира,122.5 м²,7,12,Нет,Да
3-комнатная квартира · 106.2 м² · 3/5 этаж,85 000 000〒,"Бостандыкский р-н, 20 Линия 198",3-комнатная квартира,106.2 м²,3,5,Нет,Нет
1-комнатная квартира · 30 м² · 9/16 этаж,33 000 000〒,"Бостандыкский р-н, Жандосова — Ул 20 линия",1-комнатная квартира,30 м²,9,16,Нет,Да
2-комнатная квартира · 54 м² · 14/16 этаж,53 000 000〒,"Бостандыкский р-н, Утепова 31",2-комнатная квартира,54 м²,14,16,Нет,Да
2-комнатная квартира · 52.3 м² · 7 этаж,48 000 000〒,"Бостандыкский р-н, Розыбакиева",2-комнатная квартира,52.3 м²,,,Нет,Нет
3-комнатная квартира · 91 м² · 1/3 этаж,75 000 000〒,"Бостандыкский р-н, мкр Нур Алатау, Какимбек Салыков 42",3-комнатная квартира,91 м²,1,3,Нет,Да
3-комнатная квартира · 113 м² · 11/16 этаж,130 000 000〒,"Бостандыкский р-н, Егизбаева 5к1",3-комнатная квартира,113 м²,11,16,Нет,Да
2-комнатная квартира · 66 м² · 12 этаж,65 000 000〒,"Бостандыкский р-н, Тлендиева 133 — Сатпаева",2-комнатная квартира,66 м²,,,Нет,Да
2-комнатная квартира · 65 м² · 14/16 этаж,72 000 000〒,"Бостандыкский р-н, Гагарина 233",2-комнатная квартира,65 м²,14,16,Нет,Да
3-комнатная квартира · 68 м² · 6/10 этаж,53 000 000〒,"Бостандыкский р-н, Кенесары хана 54",3-комнатная квартира,68 м²,6,10,Нет,Да
2-комнатная квартира · 61.9 м² · 1/14 этаж,59 000 000〒,"Бостандыкский р-н, Масанчи 98а — Абая- Массанчи",2-комнатная квартира,61.9 м²,1,14,Нет,Да
4-комнатная квартира · 221.66 м² · 1/3 этаж,138 000 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Газиза Жубанова 26/1",4-комнатная квартира,221.66 м²,1,3,Нет,Да
3-комнатная квартира · 113.2 м² · 6/19 этаж,155 000 000〒,"Бостандыкский р-н, Аль-Фараби 41 — Аль-Фараби / Сейфуллина",3-комнатная квартира,113.2 м²,6,19,Нет,Да
2-комнатная квартира · 65 м² · 3/12 этаж,67 000 000〒,"Бостандыкский р-н, Ходжанова 57/5",2-комнатная квартира,65 м²,3,12,Нет,Да
3-комнатная квартира · 125.4 м² · 6/6 этаж,120 500 000〒,"Бостандыкский р-н, Рахмадиева 2/1",3-комнатная квартира,125.4 м²,6,6,Нет,Да
2-комнатная квартира · 86 м² · 15/20 этаж,81 500 000〒,"Бостандыкский р-н, Гагарина",2-комнатная квартира,86 м²,15,20,Нет,Да
2-комнатная квартира · 45 м² · 1/4 этаж,35 000 000〒,"Бостандыкский р-н, мкр Коктем-1 13",2-комнатная квартира,45 м²,1,4,Нет,Нет
4-комнатная квартира · 155 м² · 2/6 этаж,245 000 000〒,"Бостандыкский р-н, Мкр «Мирас» — Presidents park",4-комнатная квартира,155 м²,2,6,Нет,Да
1-комнатная квартира · 42 м² · 5/5 этаж,29 000 000〒,"Бостандыкский р-н, Розыбакиева — Выше Тимерязева",1-комнатная квартира,42 м²,5,5,Нет,Нет
3-комнатная квартира · 80.6 м² · 3/16 этаж,53 000 000〒,"Бостандыкский р-н, Жандосова 94А",3-комнатная квартира,80.6 м²,3,16,Нет,Да
3-комнатная квартира · 85 м² · 1/12 этаж,72 000 000〒,"Бостандыкский р-н, Сатпаева 90/36 — Район АДК",3-комнатная квартира,85 м²,1,12,Нет,Да
3-комнатная квартира · 58.4 м² · 3/4 этаж,40 500 000〒,"Бостандыкский р-н, мкр Алмагуль, ул. Жарокова 217 — По ул. Жарокова выше Тимирязева",3-комнатная квартира,58.4 м²,3,4,Нет,Нет
3-комнатная квартира · 117 м² · 7/15 этаж,87 500 000〒,"Бостандыкский р-н, Хусаинова 225 — Розыбакиева",3-комнатная квартира,117 м²,7,15,Нет,Да
3-комнатная квартира · 110 м² · 19/20 этаж,90 000 000〒,"Бостандыкский р-н, Гагарина 310 — Аль-фараби",3-комнатная квартира,110 м²,19,20,Нет,Да
2-комнатная квартира · 77 м² · 12/15 этаж,71 000 000〒,"Бостандыкский р-н, Егизбаева 5",2-комнатная квартира,77 м²,12,15,Нет,Да
