title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 74 м² · 4/10 этаж,44 000 000〒,"Жетысуский р-н, Райымбека",3-комнатная квартира,74 м²,4,10,Нет,Нет
1-комнатная квартира · 31 м² · 1/5 этаж,22 000 000〒,"Жетысуский р-н, мкр Айнабулак-3 89 — Возле базарчика , поликлиника",1-комнатная квартира,31 м²,1,5,Нет,Нет
1-комнатная квартира · 42 м² · 3/3 этаж,19 100 000〒,"Жетысуский р-н, Рыскулова 35 — Жансугурова- Белинского",1-комнатная квартира,42 м²,3,3,Нет,Нет
3-комнатная квартира · 74 м² · 4/9 этаж,45 500 000〒,"Жетысуский р-н, Райымбека 241",3-комнатная квартира,74 м²,4,9,Нет,Да
2-комнатная квартира · 73.3 м² · 6/9 этаж,28 500 000〒,"Жетысуский р-н, мкр Кокжиек, Жолымбет 65/21",2-комнатная квартира,73.3 м²,6,9,Нет,Да
2-комнатная квартира · 77 м² · 2/6 этаж,39 000 000〒,"Жетысуский р-н, мкр Айнабулак-2 32/2",2-комнатная квартира,77 м²,2,6,Нет,Нет
1-комнатная квартира · 33.9 м² · 1/5 этаж,23 500 000〒,"Жетысуский р-н, мкр Айнабулак-2, Айнабулак — Жумабаева",1-комнатная квартира,33.9 м²,1,5,Нет,Нет
1-комнатная квартира · 44 м² · 3/5 этаж,25 000 000〒,"Жетысуский р-н, мкр Дорожник 36/2 — Около рынок Салем",1-комнатная квартира,44 м²,3,5,Нет,Нет
1-комнатная квартира · 41 м² · 5/5 этаж,24 500 000〒,"Жетысуский р-н, мкр Кулагер",1-комнатная квартира,41 м²,5,5,Нет,Нет
2-комнатная квартира · 71.2 м² · 1/9 этаж,25 500 000〒,"Жетысуский р-н, мкр Кокжиек, Жолымбет 65",2-комнатная квартира,71.2 м²,1,9,Нет,Да
3-комнатная квартира · 36 м² · 3/3 этаж,19 000 000〒,"Жетысуский р-н, Галилея 65 — Ташкентская Байзакова (ниже Ташкентской)",3-комнатная квартира,36 м²,3,3,Нет,Нет
2-комнатная квартира · 52 м² · 4/5 этаж,31 000 000〒,"Жетысуский р-н, мкр Кулагер, Серикова",2-комнатная квартира,52 м²,4,5,Нет,Нет
2-комнатная квартира · 65 м² · 5/6 этаж,27 500 000〒,"Жетысуский р-н, мкр Кокжиек 42",2-комнатная квартира,65 м²,5,6,Нет,Нет
2-комнатная квартира · 64 м² · 11/13 этаж,40 900 000〒,"Жетысуский р-н, Есенова 160/3",2-комнатная квартира,64 м²,11,13,Нет,Да
2-комнатная квартира · 54 м² · 8/12 этаж,36 000 000〒,"Жетысуский р-н, Райымбека",2-комнатная квартира,54 м²,8,12,Нет,Да
1-комнатная квартира · 44.6 м² · 2/5 этаж,25 500 000〒,"Жетысуский р-н, мкр Дорожник — Северное кольцо",1-комнатная квартира,44.6 м²,2,5,Нет,Нет
2-комнатная квартира · 42 м² · 5/5 этаж,26 500 000〒,"Жетысуский р-н, мкр Айнабулак-3 156 А",2-комнатная квартира,42 м²,5,5,Нет,Нет
1-комнатная квартира · 33 м² · 4/4 этаж,20 900 000〒,"Жетысуский р-н, мкр Айнабулак-1",1-комнатная квартира,33 м²,4,4,Нет,Нет
